"type","Settled_Time","Market_Title","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents"
"Settlement","2024-03-30T12:01:06.111187Z","Will the **high temp in Miami** be >80° on Mar 29 2024?","no","40.00","0","0.00","40","48.77"
"Settlement","2024-03-30T12:01:06.111187Z","Will the **high temp in Miami** be <73° on Mar 29 2024?","no","10.00","0","0.00","10","99.00"
"Settlement","2024-03-30T12:01:06.111187Z","Will the **high temp in Miami** be 79-80° on Mar 29 2024?","yes","0.00","0","0.00","40","48.77"
"Settlement","2024-03-30T12:01:06.111187Z","Will the **high temp in Miami** be 77-78° on Mar 29 2024?","no","40.00","0","0.00","40","69.60"
"Settlement","2024-03-30T12:01:06.111187Z","Will the **high temp in Miami** be 75-76° on Mar 29 2024?","no","2.00","0","0.00","2","50.00"
"Settlement","2024-03-30T12:01:06.111187Z","Will the **high temp in Miami** be 73-74° on Mar 29 2024?","no","2.00","0","0.00","2","50.00"
"Settlement","2024-03-30T12:00:59.065034Z","Will the **high temp in Austin** be <74° on Mar 29 2024?","no","80.00","0","0.00","80","65.92"
"Settlement","2024-03-30T12:00:59.065034Z","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","yes","0.00","0","0.00","240","77.77"
"Settlement","2024-03-30T12:00:59.065034Z","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","no","80.00","0","0.00","80","85.53"
"Settlement","2024-03-30T12:00:59.065034Z","Will the **high temp in Austin** be 74-75° on Mar 29 2024?","no","22.00","0","0.00","22","50.00"
"Settlement","2024-03-30T12:00:51.099761Z","Will the **high temp in NYC** be <51° on Mar 29 2024?","no","80.00","0","0.00","80","73.28"
"Settlement","2024-03-30T12:00:51.099761Z","Will the **high temp in NYC** be 57-58° on Mar 29 2024?","no","103.00","0","0.00","103","49.52"
"Settlement","2024-03-30T12:00:51.099761Z","Will the **high temp in NYC** be 55-56° on Mar 29 2024?","yes","0.00","0","0.00","80","91.65"
"Settlement","2024-03-30T12:00:51.099761Z","Will the **high temp in NYC** be 53-54° on Mar 29 2024?","no","33.00","0","0.00","33","66.33"
"Settlement","2024-03-30T12:00:51.099761Z","Will the **high temp in NYC** be 51-52° on Mar 29 2024?","no","32.00","0","0.00","32","65.31"
"Settlement","2024-03-30T12:00:43.089491Z","Will the high temp in Chicago be >55° on Mar 29 2024?","no","2.00","0","0.00","2","50.00"
"Settlement","2024-03-30T12:00:43.089491Z","Will the high temp in Chicago be <48° on Mar 29 2024?","no","40.00","0","0.00","40","48.77"
"Settlement","2024-03-30T12:00:43.089491Z","Will the high temp in Chicago be 54-55° on Mar 29 2024?","no","40.00","0","0.00","40","48.77"
"Settlement","2024-03-30T12:00:43.089491Z","Will the high temp in Chicago be 52-53° on Mar 29 2024?","yes","0.00","0","0.00","40","81.85"
"Settlement","2024-03-30T12:00:43.089491Z","Will the high temp in Chicago be 50-51° on Mar 29 2024?","no","40.00","0","0.00","40","72.05"